time,diode1_map_value,diode2_map_value
3.3333333333333335e-07,1,
1.6666666666666667e-06,2,
3e-06,,1
4.000000000000001e-06,3,
5.333333333333334e-06,,2
7.000000000000001e-06,4,
7.666666666666667e-06,,3
9.666666666666667e-06,5,4
1e-05,6,5
1.2e-05,,6
1.2333333333333334e-05,7,
1.7333333333333336e-05,,7
1.7666666666666668e-05,8,
2.1666666666666667e-05,,8
2.2000000000000003e-05,9,
2.466666666666667e-05,,9
2.5333333333333334e-05,10,
2.7666666666666667e-05,,10
2.8333333333333335e-05,11,
3.1666666666666666e-05,,11
3.2000000000000005e-05,12,
3.433333333333333e-05,,12
3.5333333333333336e-05,13,
3.733333333333334e-05,,13
3.8333333333333334e-05,14,
4.2000000000000004e-05,,14
4.266666666666667e-05,15,
4.466666666666667e-05,,15
4.5333333333333335e-05,16,
4.7000000000000004e-05,,16
4.8e-05,17,
5.2000000000000004e-05,,17
5.266666666666667e-05,18,
5.433333333333334e-05,,18
5.5333333333333334e-05,19,
5.7e-05,,19
5.766666666666667e-05,20,
6.2e-05,,20
6.533333333333334e-05,21,
6.7e-05,,21
6.8e-05,22,
7.2e-05,,22
7.266666666666667e-05,23,
7.333333333333333e-05,,23
7.533333333333334e-05,24,
7.666666666666667e-05,,24
7.8e-05,25,
8.2e-05,,25
8.533333333333334e-05,26,
8.666666666666667e-05,,26
8.833333333333334e-05,27,
9.2e-05,,27
9.533333333333334e-05,28,
9.666666666666667e-05,,28
9.833333333333334e-05,29,
0.00010200000000000001,,29
0.00010533333333333334,30,
0.00010666666666666667,,30
0.00010866666666666667,31,
0.00011200000000000001,,31
0.00011533333333333334,32,
0.00011666666666666668,,32
0.00011866666666666667,33,
0.00012200000000000001,,33
0.00012533333333333334,34,
0.00012666666666666666,,34
0.00012900000000000002,35,
0.000132,,35
0.00013533333333333333,36,
0.00013666666666666666,,36
0.00013900000000000002,37,
0.000142,,37
0.00014533333333333333,38,
0.00014666666666666666,,38
0.00014933333333333335,39,
0.000152,,39
0.00015533333333333333,40,
0.0001566666666666667,,40
0.00015933333333333335,41,
0.000162,,41
0.00016533333333333333,42,
0.00016700000000000002,,42
0.00016966666666666668,43,
0.00017233333333333334,,43
0.00017533333333333333,44,
0.00017700000000000002,,44
0.00018,45,
0.00018233333333333334,,45
0.00018533333333333336,46,
0.00018733333333333335,,46
0.00019,47,
0.00019233333333333334,,47
0.00019533333333333336,48,
