time,V_D2,VS1,VS2,Vp,Vo,Io,VC1,I_D2,ILr,I_D1,V_D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1554436208840472e-30,0.0,-0.9938681975247561,0.0,34.11405171503066,0.0,0.0,0.0,0.0,0.0,0.0,-0.9938681975247561
6.310887241768095e-30,3.241540481114902e-25,-0.9938681975247561,3.2416649225747034e-25,34.11405171503066,1.2444145980142634e-29,3.2415404811149015e-22,2.861969122501936e-26,3.2415404811149015e-22,1.9252721413311665e-23,0.0,-0.9938681975247561
2.775557556266861e-22,2.851289997624467e-17,-0.9938681975247561,2.85140317376931e-17,34.11405171503066,1.1317614484242385e-21,2.851289997624467e-14,2.609221917910581e-18,2.851289997624467e-14,1.6934872858711075e-15,0.0,-0.9938681975247561
2.77555759771487e-22,2.851290040203407e-17,-0.9938681975247561,2.8514032163499395e-17,34.11405171503066,1.131761465324659e-21,2.8512900402034067e-14,2.609221956873999e-18,2.8512900402034067e-14,1.6934873111603244e-15,0.0,-0.9938681975247561
2.7755576292693062e-22,2.851290072618821e-17,-2.7029557556826034e-17,2.85140324876664e-17,4.3891781420085056e-16,1.1317614781912972e-21,2.8512900726188214e-14,2.6092219865374184e-18,2.8512900726188214e-14,1.693487330413046e-15,0.0,-2.7030689318304226e-17
9.99022487135147e-08,2.840656763954352e-17,-1.2136752453586402e-17,3.1251373938475346e-17,-1.1920096850371323e-16,2.8448062989318245e-18,2.8406567639543516e-14,7.041071533789209e-15,2.8406567639543516e-14,1.6873550297186839e-15,0.0,-1.4981558752518228e-17
2.226511335278888e-07,2.8023460295984226e-17,6.322101766259763e-18,3.4345562062244084e-17,-8.058406438854062e-16,6.322101766259859e-18,2.8023460295984227e-14,1.565092895210016e-14,2.8023460295984227e-14,1.664849114197033e-15,0.0,-9.55261252416069e-32
2.2265113352789058e-07,2.802346029598422e-17,6.3221017662599085e-18,3.4345562062244127e-17,-8.058406438854151e-16,6.3221017662599085e-18,2.8023460295984217e-14,1.565092895210028e-14,2.8023460295984217e-14,1.6648491141970327e-15,0.0,0.0
2.2265113352789373e-07,2.80234602959842e-17,6.322101766259996e-18,3.43455620622442e-17,-8.058406438854292e-16,6.322101766259996e-18,2.80234602959842e-14,1.5650928952100494e-14,2.80234602959842e-14,1.6648491141970317e-15,1.433772706928584e-32,1.433772706928584e-35
4.4530226705578227e-07,2.6802247235655254e-17,1.2595578469452736e-17,3.923935777027939e-17,-1.807195656760189e-15,1.2437110534624134e-17,2.6960715170483854e-14,3.073932356458444e-14,2.6802247235655253e-14,1.5835018933716525e-15,1.584679348286017e-16,1.584679348286017e-19
1.558557934695225e-06,1.3997533153833895e-17,4.2723630865176524e-17,5.210798691633901e-17,-5.319859920082805e-15,3.811045376250511e-17,1.861071025650531e-14,8.217238979579518e-14,1.3997533153833893e-14,5.64217908400458e-16,4.613177102671415e-15,4.6131771026714146e-18
2.0087671456775466e-06,6.829143237933219e-18,6.927144200230721e-17,6.907775641785657e-17,-4.758119506844666e-15,6.224861317992336e-17,1.3851972060317072e-14,7.246141833351575e-14,6.829143237933218e-15,6.840903162463462e-30,7.022828822383853e-15,7.022828822383854e-18
2.008767145677575e-06,6.829143237932771e-18,6.927144200230863e-17,6.907775641785744e-17,-4.758119506844629e-15,6.224861317992467e-17,1.3851972060316735e-14,7.246141833351513e-14,6.829143237932771e-15,-2.618032129202233e-29,7.0228288223839645e-15,7.022828822383965e-18
2.4144152929858186e-06,4.812051521848172e-31,7.478758228855469e-17,6.680857395136024e-17,-4.498179895439973e-15,6.680857395135976e-17,7.979008337195415e-15,6.76099581184447e-14,4.812051521848172e-28,-4.601152049317937e-16,7.979008337194933e-15,7.979008337194934e-18
2.4144152929858694e-06,-3.0559377302303343e-16,7.478758228855518e-17,-2.3878519907167357e-16,-6.913992270057243e-15,6.680857395136018e-17,7.979008337195006e-15,6.760995811844381e-14,0.0,-4.601152049318455e-16,7.979008337195006e-15,7.979008337195007e-18
2.820063440294113e-06,-2.928515921686741e-16,8.558338358622979e-17,-2.215582033129268e-16,-6.1375952352620835e-15,7.129338885574731e-17,1.428999473048247e-14,5.6594595399823486e-14,0.0,-8.370765165543219e-16,1.428999473048247e-14,1.428999473048247e-17
4.848304176835331e-06,-1.3518688984717223e-16,1.2328225886225916e-16,-2.813724077542578e-17,1.1478154226667853e-15,1.0704964907174643e-16,1.623260979051273e-14,-3.561115840123745e-14,0.0,-1.098054438894035e-15,1.623260979051273e-14,1.6232609790512732e-17
4.999999999999948e-06,-1.0388321352298635e-16,1.0634312450614624e-16,-8.949536815875257e-18,1.5160112039335207e-15,9.49336767071111e-17,1.1409447799035142e-14,-3.687945484883299e-14,0.0,-9.986097353509117e-16,1.1409447799035142e-14,1.1409447799035142e-17
5.000000000000002e-06,-1.0388321352297546e-16,1.0634312450614035e-16,-8.949536815868576e-18,1.516011203933649e-15,9.493367670710688e-17,1.1409447799033461e-14,-3.687945484883343e-14,0.0,-9.986097353508764e-16,1.1409447799033461e-14,1.1409447799033461e-17
5.000000000000057e-06,0.0,1.0634312450614027e-16,9.493367670710762e-17,26.25721920641163,9.493367670710762e-17,1.1409447799032647e-14,-3.687945484883561e-14,0.0,-9.986097353508298e-16,1.1409447799032647e-14,1.1409447799032648e-17
5.000000000000111e-06,0.0,1.0634312450614019e-16,9.493367670710834e-17,26.25721920641163,9.493367670710834e-17,1.1409447799031842e-14,-3.687945484883775e-14,0.0,-9.986097353507837e-16,1.1409447799031842e-14,1.1409447799031843e-17
5.0000000000001664e-06,2.9016237820948352e-15,-0.993868197524759,2.9965574588019443e-15,34.11405171503071,9.493367670710895e-17,2.9016237820948352e-12,-3.687945484844666e-14,2.9016237820948352e-12,3.4195487682281123e-13,0.0,-0.9938681975247561
5.0000000000002215e-06,8.554469035665118e-15,-0.9938681975247642,8.649402712372543e-15,34.11405171503079,9.493367670742431e-17,8.554469035665119e-12,-3.687945484727709e-14,8.554469035665119e-12,6.776987843854591e-13,0.0,-0.9938681975247643
5.000000000000497e-06,3.681869530351651e-14,-0.9938681975247906,3.6913628980230174e-14,34.114051715031216,9.493367671366955e-17,3.681869530351651e-11,-3.687945482987607e-14,3.681869530351651e-11,2.3564183221986975e-12,0.0,-0.9938681975247907
5.000000000001873e-06,1.7813982664277266e-13,-0.9938681975249225,1.7823476031963426e-13,34.11405171503332,9.493367686160679e-17,1.7813982664277265e-10,-3.687945445404127e-14,1.7813982664277265e-10,1.075001601126485e-11,0.0,-0.9938681975249226
5.000000000008755e-06,8.847454833390333e-13,-0.9938681975255821,8.848404170195523e-13,34.11405171504384,9.493368051906962e-17,8.847454833390332e-10,-3.687944535412515e-14,8.847454833390332e-10,5.27180044565946e-11,0.0,-0.9938681975255822
5.000000000043166e-06,4.417773766819834e-12,-0.9938681975288798,4.417868700591585e-12,34.114051715096466,9.493377175079814e-17,4.4177737668198344e-09,-3.687921933599135e-14,4.4177737668198344e-09,2.6255794668321796e-10,0.0,-0.9938681975288799
5.00000000021522e-06,2.20829151842113e-11,-0.9938681975453686,2.208301012026282e-11,34.11405171535957,9.493605151980054e-17,2.20829151842113e-08,-3.6873576281491665e-14,2.20829151842113e-08,1.3117576578157017e-09,0.0,-0.9938681975453687
5.0000000010754875e-06,1.1040862227085497e-10,-0.9938681976278126,1.104087172638956e-10,34.11405171667513,9.499304062380766e-17,1.1040862227085497e-07,-3.673253691322663e-14,1.1040862227085497e-07,6.55775621346229e-09,0.0,-0.9938681976278126
5.000000005376827e-06,5.520371576962327e-10,-0.9938681980400326,5.520372541139753e-10,34.11405172325288,9.641774261869968e-17,5.520371576962327e-07,-3.3206737677769213e-14,5.520371576962327e-07,3.278774899129948e-08,0.0,-0.9938681980400327
